strategy,money,countries,utilities,stations,totalLandsOwned
GREEDY,21092,10,0,1,11
DEFAULT,32890,8,1,0,9
GREEDY,17411,7,1,2,10
DEFAULT,43381,9,0,0,9
GREEDY,19630,11,0,1,12
GREEDY,24038,6,0,2,8
GREEDY,26646,8,2,1,11
GREEDY,19922,6,1,0,7
GREEDY,7620,11,0,1,12
GREEDY,13075,7,0,1,8
UTILITY_GUY,81806,7,1,0,8
GREEDY,45739,9,0,1,10
STATION_GUY,63550,4,0,2,6
GREEDY,29974,7,0,1,8
DEFAULT,16217,6,0,1,7
UTILITY_GUY,45062,6,0,0,6
UTILITY_GUY,25093,7,1,0,8
GREEDY,33460,8,0,1,9
STATION_GUY,51734,5,0,2,7
DEFAULT,33551,7,0,1,8
DEFAULT,28141,7,0,0,7
GREEDY,15016,7,0,0,7
DEFAULT,30818,5,0,2,7
GREEDY,16765,6,0,1,7
GREEDY,11358,9,0,1,10
GREEDY,13303,10,1,0,11
STATION_GUY,99563,5,1,0,6
DEFAULT,72439,8,1,0,9
DEFAULT,30281,6,0,1,7
GREEDY,41712,10,0,0,10
STATION_GUY,49094,8,0,2,10
GREEDY,69304,12,0,0,12
STATION_GUY,44076,5,0,0,5
GREEDY,17547,9,1,3,13
GREEDY,43579,11,0,2,13
GREEDY,17209,8,1,1,10
UTILITY_GUY,16740,4,1,0,5
GREEDY,33955,10,0,0,10
DEFAULT,94487,4,0,1,5
GREEDY,26599,10,1,2,13
GREEDY,27804,10,0,0,10
UTILITY_GUY,39738,7,1,0,8
GREEDY,30599,12,0,2,14
GREEDY,20382,12,0,2,14
GREEDY,24690,8,0,3,11
GREEDY,25254,10,1,0,11
DEFAULT,43741,7,1,1,9
UTILITY_GUY,19694,4,1,1,6
GREEDY,16010,10,0,2,12
STATION_GUY,35176,4,0,2,6
DEFAULT,71631,5,0,2,7
GREEDY,23512,7,0,2,9
DEFAULT,66290,8,0,1,9
DEFAULT,52984,6,0,0,6
GREEDY,20811,6,1,1,8
GREEDY,20514,10,0,1,11
GREEDY,28161,4,0,1,5
GREEDY,31935,9,0,0,9
GREEDY,17945,13,1,0,14
GREEDY,19632,8,0,0,8
GREEDY,13372,7,1,1,9
GREEDY,28194,11,0,1,12
GREEDY,26431,10,0,1,11
GREEDY,18251,4,0,1,5
STATION_GUY,52933,9,0,2,11
GREEDY,21910,10,0,2,12
GREEDY,26671,7,1,4,12
GREEDY,14023,11,0,1,12
DEFAULT,41252,4,0,0,4
GREEDY,21496,11,2,1,14
UTILITY_GUY,26591,5,1,0,6
DEFAULT,21485,4,1,0,5
GREEDY,74543,9,1,1,11
UTILITY_GUY,10792,7,0,2,9
DEFAULT,30325,9,0,1,10
GREEDY,22713,9,0,0,9
DEFAULT,48040,7,0,1,8
UTILITY_GUY,46860,2,0,1,3
DEFAULT,27169,5,0,0,5
GREEDY,19396,12,1,0,13
UTILITY_GUY,12630,8,0,1,9
GREEDY,47168,5,1,4,10
STATION_GUY,29530,2,1,4,7
GREEDY,12203,7,0,4,11
UTILITY_GUY,20721,4,1,1,6
STATION_GUY,47249,7,0,1,8
UTILITY_GUY,13054,5,0,0,5
DEFAULT,64428,8,0,1,9
DEFAULT,23611,5,0,0,5
GREEDY,13675,9,1,0,10
STATION_GUY,45355,7,0,1,8
GREEDY,71942,11,1,2,14
UTILITY_GUY,23743,4,1,1,6
GREEDY,30584,6,0,1,7
STATION_GUY,47310,8,0,1,9
UTILITY_GUY,36715,5,0,0,5
GREEDY,15830,11,0,3,14
GREEDY,20180,6,1,0,7
GREEDY,29376,10,1,1,12
STATION_GUY,30044,5,0,3,8
DEFAULT,34064,6,0,0,6
GREEDY,34724,7,1,1,9
GREEDY,45915,10,0,0,10
GREEDY,18692,11,0,1,12
GREEDY,15248,8,0,1,9
GREEDY,21034,9,0,3,12
UTILITY_GUY,50267,5,1,1,7
STATION_GUY,36405,6,0,0,6
GREEDY,15047,7,1,0,8
GREEDY,22668,7,1,2,10
STINGY,42410,3,0,0,3
GREEDY,26876,10,0,1,11
GREEDY,16022,8,0,0,8
GREEDY,39039,11,0,2,13
GREEDY,32580,9,1,1,11
UTILITY_GUY,23894,6,1,0,7
UTILITY_GUY,75286,6,0,0,6
GREEDY,24486,8,0,1,9
GREEDY,56988,9,0,1,10
UTILITY_GUY,53916,7,1,0,8
DEFAULT,35154,6,0,0,6
GREEDY,19452,7,1,1,9
DEFAULT,26292,8,0,1,9
GREEDY,24932,9,1,2,12
DEFAULT,23274,2,0,0,2
GREEDY,12144,9,1,3,13
GREEDY,13854,7,2,4,13
UTILITY_GUY,40292,5,0,1,6
UTILITY_GUY,39946,5,1,2,8
GREEDY,19329,9,0,2,11
DEFAULT,63808,6,1,0,7
GREEDY,20135,8,0,1,9
DEFAULT,58491,6,0,0,6
GREEDY,18664,9,1,0,10
GREEDY,17536,9,0,1,10
GREEDY,15358,8,1,2,11
GREEDY,62142,7,1,1,9
GREEDY,17089,9,0,0,9
GREEDY,13525,11,1,1,13
UTILITY_GUY,50936,4,1,0,5
STATION_GUY,24312,8,0,2,10
STATION_GUY,32598,4,0,0,4
GREEDY,38194,8,1,1,10
GREEDY,26256,6,0,1,7
STINGY,80858,5,0,0,5
UTILITY_GUY,38785,3,0,1,4
DEFAULT,34508,8,0,0,8
GREEDY,15199,8,0,0,8
GREEDY,14346,6,0,1,7
STATION_GUY,29395,4,1,1,6
UTILITY_GUY,56980,5,1,1,7
GREEDY,43348,9,0,0,9
GREEDY,22390,12,0,2,14
GREEDY,34896,10,0,0,10
GREEDY,18463,8,0,1,9
UTILITY_GUY,27293,3,2,0,5
GREEDY,47664,9,0,3,12
GREEDY,17830,8,1,0,9
STATION_GUY,24677,7,0,1,8
STINGY,98386,5,0,2,7
GREEDY,43588,8,0,1,9
GREEDY,54565,10,0,2,12
GREEDY,28863,8,0,1,9
GREEDY,28961,9,0,0,9
STATION_GUY,36172,4,0,1,5
GREEDY,14477,10,0,2,12
STATION_GUY,38123,6,0,2,8
DEFAULT,57646,3,2,0,5
GREEDY,70570,10,1,2,13
STATION_GUY,62652,6,0,2,8
GREEDY,16658,11,0,0,11
GREEDY,95863,8,2,1,11
GREEDY,19904,9,0,3,12
DEFAULT,47477,7,1,1,9
GREEDY,22088,10,0,0,10
GREEDY,29151,10,1,2,13
GREEDY,20242,7,0,1,8
GREEDY,16850,11,2,0,13
DEFAULT,39867,6,0,1,7
DEFAULT,18096,4,0,0,4
UTILITY_GUY,66097,4,0,0,4
GREEDY,30110,6,1,0,7
GREEDY,35530,10,0,0,10
GREEDY,17887,14,1,3,18
GREEDY,63171,10,1,1,12
GREEDY,18081,9,0,1,10
GREEDY,9903,9,0,1,10
GREEDY,89748,6,1,0,7
DEFAULT,35899,5,0,0,5
GREEDY,35194,10,0,2,12
GREEDY,23559,6,1,0,7
GREEDY,25259,10,1,0,11
DEFAULT,46530,8,0,2,10
GREEDY,18471,7,1,1,9
GREEDY,10913,9,1,2,12
GREEDY,22086,10,0,2,12
UTILITY_GUY,37471,4,0,2,6
GREEDY,25473,9,0,2,11
GREEDY,9653,9,1,4,14
UTILITY_GUY,15587,5,0,0,5
GREEDY,35569,11,0,1,12
GREEDY,23080,7,2,1,10
GREEDY,31541,8,0,2,10
STATION_GUY,35863,6,0,2,8
GREEDY,43410,8,0,1,9
GREEDY,45387,10,1,0,11
DEFAULT,56473,9,0,0,9
GREEDY,11993,9,0,2,11
GREEDY,25058,11,0,0,11
DEFAULT,39155,7,0,1,8
GREEDY,11779,6,0,1,7
GREEDY,35558,9,0,0,9
STATION_GUY,44713,5,0,2,7
GREEDY,20455,8,0,2,10
GREEDY,15140,10,0,3,13
GREEDY,18819,10,0,2,12
DEFAULT,63497,6,1,2,9
UTILITY_GUY,34593,5,1,1,7
GREEDY,17410,11,0,0,11
STATION_GUY,61516,7,0,0,7
GREEDY,12765,9,0,2,11
UTILITY_GUY,32749,5,0,2,7
GREEDY,30770,10,1,1,12
GREEDY,25490,11,0,2,13
GREEDY,15001,9,1,2,12
GREEDY,33463,9,1,2,12
GREEDY,21179,8,0,2,10
STATION_GUY,82843,7,0,4,11
GREEDY,26489,9,0,0,9
GREEDY,30041,10,0,2,12
GREEDY,24112,7,0,3,10
STATION_GUY,34555,8,0,0,8
DEFAULT,35991,6,0,1,7
GREEDY,9155,9,2,0,11
GREEDY,24111,10,0,3,13
GREEDY,34114,9,0,1,10
GREEDY,20150,8,1,0,9
GREEDY,14847,7,0,3,10
GREEDY,18439,5,0,1,6
STATION_GUY,17988,6,0,0,6
DEFAULT,41083,6,1,0,7
DEFAULT,35133,7,0,1,8
GREEDY,21730,7,1,4,12
DEFAULT,24747,5,0,0,5
DEFAULT,41907,8,0,0,8
GREEDY,18339,10,1,2,13
GREEDY,14928,5,0,0,5
UTILITY_GUY,52154,4,2,0,6
GREEDY,17273,10,1,2,13
DEFAULT,38915,8,1,0,9
DEFAULT,41735,6,0,0,6
UTILITY_GUY,29162,6,1,2,9
GREEDY,12952,9,0,1,10
STATION_GUY,39540,7,0,0,7
GREEDY,61800,12,0,1,13
GREEDY,14267,10,0,0,10
