strategy,money,countries,utilities,stations,totalLandsOwned
DEFAULT,18644,15,1,1,17
DEFAULT,1187,6,2,2,10
DEFAULT,10642,12,1,2,15
DEFAULT,9271,12,1,2,15
DEFAULT,2026,10,1,2,13
,,,,
DEFAULT,112,9,2,0,11
DEFAULT,661,11,1,2,14
DEFAULT,789,5,0,1,6
DEFAULT,1187,12,2,4,18
DEFAULT,7723,14,1,1,16
DEFAULT,14425,15,2,1,18
DEFAULT,12089,11,2,2,15
DEFAULT,12027,13,1,1,15
DEFAULT,96115,12,0,2,14
DEFAULT,1304,8,1,4,13
DEFAULT,38240,13,0,3,16
DEFAULT,1518,3,0,2,5
DEFAULT,15880,12,1,3,16
DEFAULT,16156,13,0,1,14
DEFAULT,1033,9,1,2,12
DEFAULT,9091,12,0,3,15
DEFAULT,717,8,2,1,11
DEFAULT,1100,6,0,3,9
,,,,
DEFAULT,59948,16,0,1,17
,,,,
DEFAULT,15651,14,2,1,17
DEFAULT,1272,3,0,1,4
DEFAULT,1714,3,1,0,4
DEFAULT,4123,13,0,2,15
DEFAULT,16535,12,1,3,16
DEFAULT,194,10,1,1,12
DEFAULT,6707,13,0,3,16
DEFAULT,9873,11,0,3,14
DEFAULT,488,10,1,1,12
DEFAULT,42982,10,1,2,13
DEFAULT,885,8,0,2,10
DEFAULT,698,8,0,1,9
DEFAULT,3405,6,1,4,11
DEFAULT,662,8,0,1,9
DEFAULT,935,5,1,1,7
DEFAULT,19164,14,1,2,17
,,,,
DEFAULT,17622,11,2,2,15
,,,,
DEFAULT,3323,10,1,4,15
DEFAULT,650,6,0,2,8
,,,,
DEFAULT,1121,6,1,4,11
DEFAULT,28727,14,1,2,17
DEFAULT,15336,9,0,1,10
DEFAULT,9299,9,2,2,13
DEFAULT,11031,11,1,2,14
DEFAULT,13459,12,1,3,16
DEFAULT,57174,14,1,4,19
DEFAULT,12106,14,2,1,17
,,,,
DEFAULT,11653,11,0,3,14
DEFAULT,17399,13,1,2,16
DEFAULT,28286,14,1,2,17
DEFAULT,10753,15,0,3,18
DEFAULT,68518,11,1,1,13
DEFAULT,6321,10,1,3,14
DEFAULT,527,7,1,1,9
DEFAULT,4075,9,1,2,12
DEFAULT,3425,13,1,3,17
DEFAULT,5221,13,2,3,18
DEFAULT,4399,10,1,2,13
DEFAULT,57631,12,1,2,15
DEFAULT,20660,11,1,3,15
DEFAULT,49046,14,1,0,15
DEFAULT,6591,12,2,2,16
,,,,
DEFAULT,1238,10,0,4,14
DEFAULT,315,6,1,3,10
,,,,
DEFAULT,16881,12,2,3,17
DEFAULT,24802,13,2,1,16
DEFAULT,29038,10,2,0,12
DEFAULT,672,4,0,0,4
DEFAULT,2191,6,0,4,10
DEFAULT,33821,11,2,3,16
DEFAULT,15011,14,1,3,18
,,,,
,,,,
DEFAULT,17855,13,0,3,16
,,,,
DEFAULT,366,10,0,2,12
DEFAULT,24881,14,1,2,17
DEFAULT,30858,11,0,2,13
DEFAULT,769,8,1,2,11
DEFAULT,1396,6,2,1,9
DEFAULT,18060,14,1,2,17
,,,,
DEFAULT,18089,11,0,3,14
DEFAULT,4900,11,1,4,16
DEFAULT,2441,8,1,3,12
,,,,
DEFAULT,2641,6,1,4,11
DEFAULT,3061,10,0,4,14
DEFAULT,1126,6,2,3,11
DEFAULT,6801,13,1,2,16
DEFAULT,23703,10,1,2,13
DEFAULT,945,9,2,4,15
DEFAULT,14203,13,1,2,16
DEFAULT,12096,11,1,2,14
DEFAULT,515,4,1,1,6
DEFAULT,1473,8,1,3,12
DEFAULT,3155,11,0,3,14
DEFAULT,726,8,1,4,13
DEFAULT,13936,12,1,1,14
DEFAULT,417,8,1,1,10
DEFAULT,12697,10,1,3,14
DEFAULT,1377,4,0,0,4
DEFAULT,7642,9,1,2,12
DEFAULT,975,3,1,3,7
DEFAULT,847,7,0,1,8
DEFAULT,43177,10,1,2,13
DEFAULT,23970,12,1,3,16
DEFAULT,379,5,0,2,7
DEFAULT,30638,13,0,3,16
DEFAULT,765,6,1,3,10
DEFAULT,1413,11,0,3,14
,,,,
DEFAULT,30937,12,2,0,14
DEFAULT,79229,15,1,1,17
DEFAULT,1489,4,1,0,5
DEFAULT,8275,12,1,1,14
DEFAULT,17588,13,0,2,15
DEFAULT,606,5,0,1,6
DEFAULT,602,4,0,2,6
DEFAULT,32473,13,2,1,16
DEFAULT,540,5,0,2,7
,,,,
DEFAULT,32618,12,1,2,15
DEFAULT,714,8,1,1,10
DEFAULT,994,6,1,3,10
DEFAULT,24759,11,2,1,14
DEFAULT,5580,14,2,3,19
DEFAULT,10125,10,1,2,13
DEFAULT,1332,4,0,1,5
DEFAULT,456,8,1,2,11
,,,,
DEFAULT,22641,13,0,3,16
