strategy,money,countries,utilities,stations,totalLandsOwned
DEFAULT,496,5,1,1,7
DEFAULT,461,9,0,2,11
GREEDY,2070,10,2,2,14
GREEDY,2833,15,1,3,19
DEFAULT,1168,6,1,3,10
GREEDY,1397,11,1,4,16
DEFAULT,18870,12,1,1,14
GREEDY,472,8,0,2,10
GREEDY,1615,14,1,1,16
DEFAULT,782,7,0,2,9
GREEDY,1086,13,2,3,18
DEFAULT,1847,6,1,3,10
DEFAULT,1284,2,0,0,2
DEFAULT,1086,3,0,3,6
DEFAULT,273,5,0,2,7
DEFAULT,1470,7,1,3,11
GREEDY,586,7,2,3,12
DEFAULT,378,4,0,1,5
DEFAULT,921,7,0,2,9
DEFAULT,27328,11,1,1,13
DEFAULT,23550,15,2,1,18
GREEDY,4779,12,2,2,16
GREEDY,571,7,1,3,11
DEFAULT,204,8,0,1,9
GREEDY,690,11,1,3,15
DEFAULT,86674,10,1,3,14
DEFAULT,514,4,0,2,6
GREEDY,7000,13,2,2,17
GREEDY,1068,12,2,2,16
DEFAULT,1040,5,0,0,5
DEFAULT,18439,13,1,1,15
GREEDY,1865,8,2,3,13
GREEDY,4891,12,1,2,15
GREEDY,1909,13,2,3,18
GREEDY,259,12,1,3,16
GREEDY,3486,15,1,2,18
GREEDY,612,9,1,4,14
DEFAULT,592,3,1,2,6
DEFAULT,578,5,1,0,6
GREEDY,12233,10,1,3,14
GREEDY,3543,14,1,2,17
GREEDY,5723,13,1,2,16
DEFAULT,1240,3,0,1,4
GREEDY,1667,12,2,3,17
DEFAULT,503,6,2,2,10
GREEDY,334,7,1,4,12
GREEDY,3012,11,2,2,15
GREEDY,6121,12,1,3,16
GREEDY,3163,14,1,2,17
DEFAULT,1313,3,1,2,6
DEFAULT,1703,8,0,3,11
GREEDY,9531,13,2,2,17
DEFAULT,854,7,1,3,11
DEFAULT,1020,4,2,3,9
GREEDY,2374,14,2,2,18
GREEDY,1219,13,2,4,19
GREEDY,1355,13,0,3,16
DEFAULT,722,5,1,3,9
GREEDY,54258,14,2,1,17
DEFAULT,1226,4,0,1,5
GREEDY,2333,14,1,3,18
GREEDY,2221,16,1,3,20
GREEDY,593,4,1,2,7
DEFAULT,603,6,1,2,9
DEFAULT,854,4,0,2,6
GREEDY,4353,12,1,3,16
GREEDY,905,13,1,3,17
GREEDY,4886,12,1,2,15
DEFAULT,1051,3,0,0,3
DEFAULT,467,6,1,1,8
DEFAULT,222,6,1,2,9
DEFAULT,972,7,1,1,9
DEFAULT,295,5,0,2,7
GREEDY,835,10,2,2,14
GREEDY,1673,12,1,3,16
GREEDY,2148,12,1,3,16
DEFAULT,935,7,0,1,8
DEFAULT,276,8,0,1,9
GREEDY,476,5,1,2,8
DEFAULT,939,8,0,2,10
DEFAULT,600,6,0,1,7
DEFAULT,26628,14,0,3,17
GREEDY,364,10,0,1,11
DEFAULT,730,7,0,0,7
GREEDY,5172,11,2,3,16
GREEDY,1348,10,1,4,15
DEFAULT,724,2,2,1,5
GREEDY,7316,11,2,3,16
DEFAULT,342,10,1,1,12
DEFAULT,536,6,0,2,8
GREEDY,3173,13,1,3,17
DEFAULT,22497,11,0,1,12
DEFAULT,630,5,0,2,7
GREEDY,1239,10,1,4,15
GREEDY,908,9,0,2,11
GREEDY,2045,14,1,4,19
DEFAULT,434,6,1,1,8
GREEDY,2894,12,2,2,16
DEFAULT,42181,10,0,1,11
DEFAULT,188,7,1,2,10
DEFAULT,2023,8,1,3,12
DEFAULT,1666,11,1,3,15
DEFAULT,820,5,1,0,6
GREEDY,1317,12,1,3,16
GREEDY,956,8,1,0,9
DEFAULT,42543,9,0,2,11
DEFAULT,1187,6,1,0,7
GREEDY,266,11,1,1,13
DEFAULT,949,5,2,2,9
GREEDY,6230,14,1,3,18
DEFAULT,1314,2,1,2,5
GREEDY,420,8,1,1,10
DEFAULT,663,8,2,3,13
