strategy,money,countries,utilities,stations,totalLandsOwned
GREEDY,1666,14,1,4,19
STINGY,1822,1,0,0,1
GREEDY,2805,16,1,3,20
STINGY,1979,4,1,1,6
GREEDY,4135,16,2,4,22
GREEDY,7600,16,2,3,21
STINGY,1146,4,1,0,5
GREEDY,2248,14,2,4,20
STINGY,2140,2,0,0,2
GREEDY,1513,21,1,4,26
GREEDY,4355,16,2,2,20
GREEDY,4552,16,1,3,20
STINGY,2152,0,0,0,0
STINGY,864,8,0,1,9
STINGY,1154,2,0,0,2
GREEDY,3773,17,2,3,22
GREEDY,3394,17,1,4,22
GREEDY,3347,15,0,4,19
STINGY,914,3,0,0,3
GREEDY,1836,17,0,3,20
STINGY,1175,4,2,2,8
STINGY,1183,3,1,1,5
GREEDY,2323,16,2,4,22
GREEDY,5112,15,0,3,18
STINGY,1278,5,0,0,5
GREEDY,3227,19,2,4,25
STINGY,1639,5,0,0,5
STINGY,1315,3,0,0,3
STINGY,642,6,0,1,7
STINGY,410,6,0,1,7
GREEDY,932,16,1,2,19
STINGY,1333,3,0,1,4
STINGY,2220,2,1,0,3
STINGY,1567,1,0,0,1
GREEDY,3728,16,2,3,21
GREEDY,3730,17,2,2,21
STINGY,1284,5,0,0,5
GREEDY,2515,12,1,4,17
GREEDY,598,8,2,3,13
GREEDY,4724,15,1,2,18
STINGY,1821,2,0,1,3
GREEDY,2629,18,2,4,24
STINGY,38138,11,1,2,14
GREEDY,4122,18,1,3,22
GREEDY,7237,17,2,3,22
GREEDY,3581,16,1,2,19
GREEDY,3986,15,1,4,20
STINGY,1673,3,0,0,3
GREEDY,1552,12,2,2,16
GREEDY,2212,15,2,4,21
GREEDY,2797,16,2,4,22
STINGY,1973,4,0,1,5
STINGY,1772,1,0,1,2
GREEDY,1403,16,2,3,21
STINGY,1429,4,0,2,6
GREEDY,1914,16,2,4,22
STINGY,1067,5,0,2,7
STINGY,1584,3,0,0,3
GREEDY,11225,12,0,4,16
GREEDY,1764,17,2,2,21
STINGY,1244,3,0,0,3
GREEDY,5724,16,2,4,22
GREEDY,2930,14,2,3,19
STINGY,1602,3,0,1,4
STINGY,674,6,2,0,8
GREEDY,6748,17,2,1,20
STINGY,1494,5,0,0,5
GREEDY,4003,17,2,3,22
GREEDY,7659,13,2,4,19
STINGY,1150,2,0,0,2
STINGY,1087,3,1,0,4
GREEDY,3334,17,2,2,21
GREEDY,2292,14,1,3,18
GREEDY,3188,16,2,2,20
STINGY,1187,3,0,1,4
GREEDY,4389,16,1,3,20
GREEDY,6460,16,2,3,21
STINGY,1418,3,0,0,3
STINGY,1263,2,0,1,3
GREEDY,692,11,2,3,16
GREEDY,4258,15,1,3,19
GREEDY,7884,18,2,2,22
STINGY,1068,7,1,1,9
GREEDY,5975,14,2,4,20
STINGY,1165,2,0,1,3
GREEDY,1863,19,1,3,23
GREEDY,5418,19,1,3,23
GREEDY,2592,14,2,4,20
STINGY,558,6,0,0,6
STINGY,1068,2,0,1,3
STINGY,1268,3,0,0,3
GREEDY,6050,15,2,3,20
STINGY,1552,3,1,0,4
GREEDY,3349,16,1,4,21
GREEDY,2341,16,1,3,20
GREEDY,6617,16,2,1,19
GREEDY,3386,17,1,3,21
GREEDY,4113,14,1,3,18
GREEDY,3322,17,1,3,21
GREEDY,10213,16,1,3,20
STINGY,1355,2,0,0,2
GREEDY,955,16,2,4,22
STINGY,1667,2,0,1,3
STINGY,1367,2,0,2,4
STINGY,2182,2,1,0,3
STINGY,1412,5,0,0,5
STINGY,1036,3,1,0,4
STINGY,990,2,0,1,3
GREEDY,2337,15,2,4,21
STINGY,2498,0,0,0,0
GREEDY,133,7,1,2,10
GREEDY,1925,14,1,2,17
GREEDY,3968,15,2,4,21
STINGY,1598,3,0,0,3
STINGY,2152,3,2,1,6
STINGY,1124,2,0,0,2
GREEDY,2920,17,2,3,22
GREEDY,2544,11,1,4,16
GREEDY,2123,16,2,4,22
STINGY,2563,3,0,0,3
GREEDY,4444,18,2,2,22
GREEDY,5218,13,1,4,18
GREEDY,4142,14,2,3,19
GREEDY,6528,15,2,2,19
GREEDY,4263,14,0,3,17
STINGY,809,6,0,1,7
GREEDY,2560,18,2,3,23
STINGY,1059,6,0,2,8
GREEDY,5739,16,2,3,21
GREEDY,4944,17,1,3,21
STINGY,1835,3,0,1,4
STINGY,1511,4,0,0,4
GREEDY,4498,16,2,4,22
STINGY,1054,6,1,1,8
GREEDY,3055,16,2,3,21
GREEDY,3460,16,0,3,19
GREEDY,3856,15,2,4,21
STINGY,1652,1,0,0,1
STINGY,1277,5,1,0,6
GREEDY,353,11,2,4,17
GREEDY,1728,16,1,4,21
GREEDY,1541,20,1,3,24
GREEDY,10622,15,2,3,20
STINGY,1594,2,0,2,4
GREEDY,1972,14,1,4,19
STINGY,1356,3,0,0,3
GREEDY,2764,21,1,1,23
GREEDY,2592,15,2,4,21
GREEDY,4156,17,1,3,21
GREEDY,2363,20,2,4,26
STINGY,1022,2,1,1,4
STINGY,1359,4,1,1,6
GREEDY,224,14,0,3,17
GREEDY,3897,17,2,4,23
GREEDY,2252,18,1,3,22
GREEDY,3171,18,1,4,23
GREEDY,2367,16,1,3,20
STINGY,1191,4,0,1,5
GREEDY,3372,14,2,3,19
GREEDY,2855,17,0,3,20
STINGY,1513,3,0,1,4
STINGY,1774,2,1,0,3
GREEDY,4362,13,2,4,19
GREEDY,2273,14,0,3,17
STINGY,866,3,0,2,5
GREEDY,899,10,0,4,14
GREEDY,7681,13,1,4,18
GREEDY,3125,16,1,4,21
GREEDY,2943,16,2,3,21
GREEDY,1573,17,2,3,22
STINGY,2243,0,0,0,0
STINGY,1221,5,0,1,6
STINGY,1700,0,0,0,0
STINGY,1376,4,0,1,5
GREEDY,1973,14,2,2,18
GREEDY,2096,15,2,4,21
GREEDY,4105,13,1,3,17
GREEDY,3074,17,2,2,21
STINGY,1222,5,0,1,6
STINGY,1734,1,0,0,1
STINGY,942,6,1,2,9
STINGY,948,1,0,0,1
GREEDY,9642,15,1,2,18
GREEDY,3299,16,2,2,20
STINGY,1565,4,1,2,7
STINGY,1272,3,0,1,4
STINGY,1358,1,1,0,2
STINGY,1753,1,0,1,2
GREEDY,3147,16,2,4,22
GREEDY,3244,15,2,4,21
GREEDY,4836,16,1,2,19
STINGY,1130,5,0,0,5
STINGY,1755,0,0,1,1
STINGY,1601,6,0,0,6
STINGY,1868,3,0,1,4
GREEDY,3562,16,1,3,20
GREEDY,6011,14,2,3,19
STINGY,1233,3,0,0,3
GREEDY,6112,14,1,4,19
GREEDY,2644,14,2,4,20
GREEDY,2242,11,2,4,17
STINGY,1454,3,0,0,3
STINGY,1261,3,0,0,3
GREEDY,3758,14,2,1,17
GREEDY,6428,16,1,4,21
GREEDY,3916,15,0,4,19
GREEDY,12491,13,1,1,15
GREEDY,3432,19,1,4,24
GREEDY,6843,18,1,4,23
STINGY,1403,0,0,1,1
GREEDY,3140,14,2,3,19
GREEDY,3498,16,1,4,21
STINGY,1588,3,0,1,4
GREEDY,4708,15,1,4,20
STINGY,1731,6,2,1,9
STINGY,1146,3,0,0,3
GREEDY,3153,17,2,2,21
STINGY,1051,6,0,0,6
STINGY,600,5,0,0,5
GREEDY,2607,17,0,4,21
STINGY,2107,5,0,1,6
STINGY,1660,0,0,0,0
STINGY,1312,2,0,1,3
GREEDY,3943,15,1,4,20
GREEDY,3110,16,0,4,20
GREEDY,10641,16,2,2,20
STINGY,1802,4,0,0,4
STINGY,1499,4,0,2,6
GREEDY,4494,17,2,3,22
GREEDY,2690,18,2,4,24
STINGY,2099,3,0,0,3
GREEDY,1811,15,1,4,20
GREEDY,3045,13,1,4,18
STINGY,2195,4,2,0,6
STINGY,1431,5,0,0,5
GREEDY,1823,16,1,3,20
GREEDY,4753,14,1,3,18
STINGY,2696,1,1,2,4
GREEDY,3331,15,2,2,19
STINGY,891,5,0,1,6
GREEDY,3583,20,2,4,26
GREEDY,1928,20,2,2,24
GREEDY,6070,17,1,3,21
GREEDY,2446,18,2,3,23
GREEDY,878,13,1,2,16
GREEDY,1884,14,0,4,18
STINGY,1477,1,2,0,3
STINGY,2606,3,0,0,3
GREEDY,12032,14,2,3,19
GREEDY,3765,19,1,3,23
STINGY,2006,3,0,0,3
STINGY,1900,1,0,0,1
STINGY,775,3,0,2,5
STINGY,1534,2,0,0,2
GREEDY,4652,16,2,3,21
GREEDY,4775,16,2,4,22
STINGY,1549,5,0,2,7
GREEDY,2899,19,2,3,24
STINGY,1359,3,1,1,5
GREEDY,2782,16,1,3,20
STINGY,2306,4,0,1,5
GREEDY,4935,15,2,4,21
STINGY,2274,2,1,0,3
STINGY,2295,2,0,1,3
STINGY,1274,3,0,0,3
GREEDY,6861,14,1,4,19
STINGY,964,5,0,1,6
STINGY,1260,2,0,1,3
GREEDY,567,21,2,4,27
STINGY,1284,2,0,1,3
GREEDY,1876,19,1,4,24
STINGY,1492,2,0,0,2
GREEDY,8583,17,2,2,21
GREEDY,5037,16,1,2,19
GREEDY,5523,16,2,3,21
STINGY,1334,4,1,0,5
STINGY,1949,4,0,1,5
GREEDY,1596,17,1,3,21
GREEDY,4182,15,2,3,20
GREEDY,17242,16,2,2,20
STINGY,1456,4,0,0,4
GREEDY,4659,17,1,1,19
STINGY,705,5,0,1,6
GREEDY,4491,14,1,4,19
GREEDY,6022,16,0,3,19
GREEDY,2574,19,2,4,25
GREEDY,3514,15,2,4,21
GREEDY,3426,15,2,3,20
GREEDY,4358,14,2,2,18
GREEDY,3532,15,2,4,21
GREEDY,2750,17,2,4,23
GREEDY,3112,16,1,4,21
GREEDY,2533,16,0,4,20
GREEDY,1991,13,2,2,17
STINGY,1283,2,0,1,3
STINGY,1517,1,1,0,2
GREEDY,3734,17,2,3,22
GREEDY,2532,19,0,2,21
STINGY,1914,1,0,0,1
GREEDY,6800,17,1,3,21
GREEDY,977,16,2,3,21
STINGY,1126,2,0,0,2
GREEDY,4923,18,1,4,23
STINGY,2089,3,0,1,4
GREEDY,4987,13,1,4,18
GREEDY,3284,15,2,3,20
GREEDY,3977,19,2,3,24
STINGY,2399,1,0,1,2
GREEDY,1132,13,2,4,19
GREEDY,4527,15,2,4,21
GREEDY,3183,16,1,4,21
GREEDY,2719,15,2,4,21
GREEDY,3884,16,2,4,22
GREEDY,7233,16,2,4,22
STINGY,1502,2,0,0,2
STINGY,871,5,0,1,6
STINGY,1432,1,0,0,1
GREEDY,691,10,2,3,15
GREEDY,7796,16,2,4,22
GREEDY,2656,15,2,2,19
STINGY,426,6,0,2,8
STINGY,2715,1,1,0,2
GREEDY,2974,18,2,3,23
GREEDY,2589,13,2,4,19
STINGY,881,6,0,0,6
GREEDY,4750,16,2,2,20
STINGY,1778,2,0,3,5
STINGY,2008,5,0,0,5
STINGY,2245,2,1,0,3
STINGY,1452,5,0,0,5
STINGY,1909,2,0,0,2
GREEDY,4574,16,2,2,20
GREEDY,2346,18,2,3,23
GREEDY,4953,12,1,3,16
GREEDY,12273,16,2,3,21
GREEDY,9029,16,1,3,20
STINGY,2588,7,0,0,7
STINGY,1790,2,0,0,2
GREEDY,42068,15,0,2,17
STINGY,1706,3,0,0,3
STINGY,1601,1,0,1,2
GREEDY,2936,17,1,4,22
GREEDY,6619,17,1,3,21
GREEDY,2129,15,2,4,21
STINGY,1782,1,1,1,3
GREEDY,2748,16,1,3,20
GREEDY,2540,14,0,4,18
STINGY,1168,3,0,1,4
STINGY,2266,3,0,1,4
GREEDY,2973,16,1,2,19
GREEDY,3848,16,2,3,21
STINGY,881,5,1,1,7
STINGY,858,4,0,0,4
STINGY,1773,0,0,0,0
STINGY,2686,1,1,0,2
GREEDY,15546,16,2,3,21
GREEDY,3040,14,0,4,18
GREEDY,1279,17,0,1,18
GREEDY,4899,17,2,3,22
GREEDY,4989,17,2,2,21
STINGY,2047,1,1,0,2
STINGY,1650,3,0,0,3
STINGY,1973,2,0,0,2
GREEDY,4378,14,1,1,16
STINGY,782,7,0,0,7
